column_name,block,descripcion,formula_o_fuente,usa_y_real,observable_en_t,puede_ser_feature,role,riesgo_leakage,comentario_metodologico
actual_caida,contexto_desacuerdo,Indicador de caida realizada bajo el umbral operativo del Radar.,tabla E10 derivada / dataset maestro / resumen entre predicciones,True,False,False,forbidden_for_training,alto,Usa y_real y por tanto no puede ser feature online.
actual_delta,contexto_desacuerdo,Cambio realizado respecto de y_current.,tabla E10 derivada / dataset maestro / resumen entre predicciones,True,False,False,forbidden_for_training,alto,Usa y_real y por tanto no puede ser feature online.
actual_direction,contexto_desacuerdo,Direccion realizada de la observacion.,tabla E10 derivada / dataset maestro / resumen entre predicciones,True,False,False,forbidden_for_training,alto,Usa y_real y por tanto no puede ser feature online.
cobertura_modelos_fila,contexto_desacuerdo,Proporcion de modelos disponibles respecto del pool incluido.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
consenso_direccion,contexto_desacuerdo,1 si todas las direcciones predichas coinciden; 0 si no.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
desacuerdo_direccion,contexto_desacuerdo,1 si existe desacuerdo de direccion entre modelos disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
desviacion_predicciones,contexto_desacuerdo,Desviacion estandar de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
dispersion_direccion,contexto_desacuerdo,Numero de direcciones distintas relativo al total disponible.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
fila_completa_modelos_incluidos,contexto_desacuerdo,Indicador de disponibilidad total del pool principal de E10.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
max_diff_predicciones,contexto_desacuerdo,Diferencia maxima entre predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
max_predicciones,contexto_desacuerdo,Maximo de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
mediana_predicciones,contexto_desacuerdo,Mediana de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
min_predicciones,contexto_desacuerdo,Minimo de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
n_direcciones_distintas,contexto_desacuerdo,Numero de direcciones distintas entre modelos disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
n_modelos_disponibles,contexto_desacuerdo,Conteo de modelos con prediccion disponible en la fila.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
numero_modelos_predicen_caida,contexto_desacuerdo,Numero de modelos que predicen caida.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
promedio_predicciones,contexto_desacuerdo,Promedio de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
rango_predicciones,contexto_desacuerdo,Rango max-min de predicciones disponibles.,tabla E10 derivada / dataset maestro / resumen entre predicciones,False,True,True,feature_candidate,bajo,Observable en t y apta como feature contextual o de desacuerdo.
