horizonte_sem,representation_mode,feature_name,block,definition,formula_or_procedure,source,temporal_availability,leakage_note,substantive_intuition,source_run_ids
3,expanded,rep_pred_e1_v5_clean,prediccion_archivada,Prediccion historica archivada del run E1_v5_clean para el mismo horizonte,y_pred de E1_v5_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_e1_v5_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E1_v5_clean,rep_pred_e1_v5_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E1_v5_clean_20260321_105449/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_e5_v4_clean,prediccion_archivada,Prediccion historica archivada del run E5_v4_clean para el mismo horizonte,y_pred de E5_v4_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E5_v4_clean_20260330_091736/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_e5_v4_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E5_v4_clean,rep_pred_e5_v4_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E5_v4_clean_20260330_091736/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_e3_v2_clean,prediccion_archivada,Prediccion historica archivada del run E3_v2_clean para el mismo horizonte,y_pred de E3_v2_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E3_v2_clean_20260325_045918/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_e3_v2_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E3_v2_clean,rep_pred_e3_v2_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E3_v2_clean_20260325_045918/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_e7_v3_clean,prediccion_archivada,Prediccion historica archivada del run E7_v3_clean para el mismo horizonte,y_pred de E7_v3_clean alineado por fecha y horizonte,/home/emilio/Documentos/RAdAR/Experimentos/runs/E7_v3_clean_20260330_113801/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Cada valor proviene de una prediccion historica fuera de muestra generada con pasado disponible en su fecha,Resume una lectura funcional alternativa del problema,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_delta_e7_v3_clean,prediccion_archivada,Delta implicito de la prediccion archivada del run E7_v3_clean,rep_pred_e7_v3_clean - y_t_aceptacion_digital,/home/emilio/Documentos/RAdAR/Experimentos/runs/E7_v3_clean_20260330_113801/predicciones_h3.csv,prediccion_archivada_temporalmente_valida,Se deriva solo de la prediccion archivada y del valor actual observable en t,Captura direccion y magnitud del movimiento sugerido por la base,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_mean_all,consenso_modelos,Promedio de todas las predicciones archivadas usadas en el horizonte,mean(predicciones_archivadas_fuente),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,No usa informacion futura,Resumen del consenso general entre bases heterogeneas,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
3,expanded,rep_pred_std_all,desacuerdo_modelos,Dispersion de todas las predicciones archivadas,std(predicciones_archivadas_fuente),"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean",prediccion_archivada_temporalmente_valida,Solo usa predicciones ya disponibles en la fecha,Proxy de incertidumbre o conflicto entre familias,"E1_v5_clean,E5_v4_clean,E3_v2_clean,E7_v3_clean"
